0,0
0.0,0.02
1.82,0.44
2.0,-0.11
1.82,-0.6
1.79,-0.29
0.52,-1.29
0.43,-1.06
0.32,-1.87
0.22,-2.2
-1.07,-2.93
-2.49,-2.79
-1.63,-3.36
-2.44,-3.05
-2.67,-1.58
-2.35,-1.26
-2.58,-1.05
-2.68,0.86
-1.91,0.25
-1.05,-0.1
-0.91,-0.68
-1.23,-0.07
-0.15,1.24
-1.25,0.93
-1.02,1.31
0.48,1.03
1.13,0.55
0.8,0.64
-0.29,0.34
-0.83,0.4
-0.03,0.69
0.46,1.03
0.75,1.28
0.73,1.24
1.07,0.35
2.79,0.58
1.71,1.12
0.66,1.69
1.71,1.54
0.58,3.18
1.41,3.18
1.41,3.14
2.0,2.73
1.53,4.59
1.32,3.26
1.62,2.57
1.8,1.87
0.67,2.59
-1.2,3.08
-2.59,3.48
-2.92,2.85
-2.51,3.03
-2.23,3.56
-0.87,2.14
-0.95,2.33
-0.76,2.49
0.28,1.8
0.28,1.8
-0.31,2.21
-0.65,0.59
-0.23,0.58
0.69,2.18
2.05,2.22
0.08,2.39
-1.69,2.94
-1.79,3.64
-1.94,2.75
-2.11,2.75
-1.02,1.51
-1.29,2.6
-0.18,2.74
-0.23,1.42
-0.48,0.53
0.23,2.1
-1.66,1.46
-1.59,1.06
-1.48,1.05
-1.24,0.26
-0.92,-0.65
-1.59,-0.67
-2.5,0.98
-2.66,2.37
-2.71,2.8
-3.93,3.19
-2.56,2.84
-3.04,2.69
-4.23,3.05
-4.29,2.61
-4.59,2.88
-4.5,1.17
-4.43,2.65
-3.79,3.42
-4.67,2.53
-4.79,2.18
-4.08,1.51
-3.82,0.01
-3.68,-0.85
-4.46,-0.7
-4.56,-0.73
-3.02,-0.98
-3.54,-0.98
-2.8,-1.61
-2.85,-1.64
-3.18,-0.92
-2.54,-2.78
-1.43,-3.89
-0.85,-4.01
0.26,-4.92
0.38,-4.9
-0.54,-5.23
-1.12,-5.49
-0.93,-7.46
-1.35,-5.8
-0.82,-5.78
-0.42,-5.56
-1.48,-4.47
-1.47,-4.75
-0.16,-3.94
0.23,-4.22
-0.8,-5.24
-2.28,-5.28
-2.12,-3.89
-3.03,-3.54
-3.23,-5.1
-1.85,-4.29
-1.52,-4.58
-1.48,-4.57
-1.27,-4.73
-3.19,-5.31
-1.37,-4.49
-1.76,-4.57
-0.23,-5.23
1.37,-6.38
2.21,-6.42
2.35,-8.15
4.32,-7.82
2.78,-6.94
3.65,-6.92
3.07,-7.82
4.23,-7.27
6.04,-7.69
7.06,-7.98
7.19,-7.86
8.04,-8.97
7.52,-9.69
8.75,-10.58
9.4,-12.17
9.42,-12.17
10.23,-13.93
10.4,-14.31
9.23,-13.7
9.42,-13.66
10.07,-13.68
10.82,-13.89
10.15,-13.07
10.53,-12.39
10.26,-12.26
9.1,-11.64
10.18,-11.66
9.46,-12.46
9.51,-11.6
8.91,-11.93
8.49,-12.04
8.34,-12.54
7.22,-11.86
7.3,-11.08
6.82,-11.26
6.41,-11.4
6.21,-11.05
6.05,-11.13
6.38,-10.69
6.12,-10.67
7.27,-9.57
8.18,-9.62
9.65,-9.57
10.35,-11.43
10.34,-11.43
10.44,-11.79
10.44,-11.78
11.4,-11.05
10.53,-11.52
9.74,-11.23
9.02,-11.64
10.19,-11.18
8.87,-12.39
9.11,-12.41
9.13,-12.38
8.96,-11.97
8.93,-12.09
9.4,-11.78
9.24,-11.83
9.6,-10.24
9.6,-10.24
10.03,-10.1
9.24,-10.94
10.98,-10.82
